cluster,workload,router,n_requests,mean_latency,median_latency,p90_latency,p95_latency,p99_latency,max_latency,throughput,drop_rate,fairness,util_node_0,util_node_1,util_node_2,util_node_3
heterogeneous,bursty,latency_aware,2018.0,0.24390590670669715,0.09027949925765866,0.6612397697400845,0.8536461681043909,1.1579748278857231,1.3201151177430681,201.8,0.0,0.7758687438175497,0.6310081678038363,0.6318827989865489,0.4289748045886127,0.3997825507488525
heterogeneous,bursty,learned,2018.0,0.21259547096338086,0.06065810523608439,0.6048511516174435,0.7945840135190191,1.0792693385274903,1.278834363408417,201.8,0.0,0.866745501880637,0.5759284268590191,0.5757384302954399,0.4452106233396796,0.5355859748829351
heterogeneous,bursty,least_queue,2018.0,0.2211075525882805,0.10437179592114809,0.5252024594686878,0.9767933008919204,1.2117730658106751,1.3049555809992635,201.8,0.0,0.7986264404333263,0.628571850383175,0.6476950487561688,0.4131175028507176,0.3907395640917284
heterogeneous,bursty,power2,2018.0,0.27420485886951146,0.12857590642861805,0.7937509229242461,1.0473897628225395,1.2445873704037185,1.2918348076530553,201.8,0.0,0.9341803907462939,0.49134911227341044,0.675839089873944,0.46786405214603805,0.6554256331684984
heterogeneous,bursty,random,2018.0,0.7682469875928094,0.09290866796009373,2.613898998863924,2.828092713217231,3.0680454921051425,3.153025123526448,172.07434608458553,0.0,0.9964715186466292,0.30531453334318337,0.8765252814643326,0.3214005983557322,0.8567756350693747
heterogeneous,bursty,round_robin,2018.0,0.5772809061326334,0.0876267243773472,2.0040159472680545,2.4439464238152566,2.8287109038384113,2.899352912537104,180.8908305171661,0.0,0.9999990177608483,0.3355932045805625,0.76764621614032,0.33713514994920735,0.8796223010091011
heterogeneous,uniform,latency_aware,3240.0,0.01778929300713034,0.012943072629995445,0.03775605609225348,0.05024622571766162,0.08243611789628065,0.14055720716089937,321.272292797839,0.0,0.8458728405972551,0.7815369737982665,0.8186137070358775,0.6773959149338152,0.7197346627903973
heterogeneous,uniform,learned,3240.0,0.019465384323927287,0.013641616321527383,0.041332271747312306,0.05584357810343518,0.09379721858582724,0.1470762400298513,322.90399718283646,0.0,0.8371895390225899,0.7763799053035843,0.802764780487246,0.7402780518876414,0.7293776201050628
heterogeneous,uniform,least_queue,3240.0,0.019710651835232466,0.013622247814307986,0.04196687955362676,0.05968812093076612,0.10582006201204701,0.17468404523241787,323.22198923009967,0.0,0.8600580319601812,0.8060030126611756,0.8871992339508645,0.6577554702325097,0.7246294815726438
heterogeneous,uniform,power2,3240.0,0.03023140020958908,0.018743850548727847,0.0719023756838047,0.09883944047147447,0.1540008600098773,0.30126174880788703,323.13974276274115,0.0,0.9025231029957549,0.7417395647347004,0.9255760999198782,0.7057470158588819,0.9044855289086092
heterogeneous,uniform,random,3240.0,0.9463118362771397,0.08784433425478111,3.0752318968911574,3.502712288567027,3.792844349700676,4.145335020154096,229.77645201622093,0.0,0.9989897428830926,0.37345550063361765,0.9373779628016243,0.35250893358432606,0.9984186711608816
heterogeneous,uniform,round_robin,3240.0,0.8064101393210904,0.03802962126745952,2.7188128448600253,3.0301339311762745,3.4965475651303404,3.8117882277828468,235.23125670618825,0.0,1.0,0.4021249777605149,0.9481530947684916,0.39325214911792566,0.9957069703243783
heterogeneous,zipf_heavy,latency_aware,3217.0,0.7725681510843715,0.6775288407346052,1.530811951715284,1.6973720811459463,2.5257930542076297,2.8793101764371354,250.15941813138974,0.0,0.8768104977095863,0.8441042703136608,0.9421320741957477,0.8881790767120173,0.9982562561127927
heterogeneous,zipf_heavy,learned,3217.0,0.7969263224572315,0.6333808298508972,1.5639578324514725,1.8334798278707827,2.169389776660005,2.5247396292964606,263.7181306452193,0.0,0.8352783715367602,0.9250547981989347,0.9389598400338196,0.9988327380815042,0.9414090118705607
heterogeneous,zipf_heavy,least_queue,3217.0,0.8715601291242817,0.699447506298053,1.9547185168184715,2.7475141536895404,3.2426329655392627,3.5602306886388426,237.45227128312644,0.0,0.8885574463890826,0.8151245188290305,0.9694586870049449,0.825639796151532,0.9986318151588395
heterogeneous,zipf_heavy,power2,3217.0,0.9233845685346447,0.7852803945258486,1.9306088499187402,2.6924728536941576,2.9272374364412186,3.1798993001080262,244.62153765400464,0.0,0.889127241785889,0.8478776717408083,0.9993626357660443,0.8472220624404667,0.9865933565907307
heterogeneous,zipf_heavy,random,3217.0,2.874220609065185,0.3694241633809652,9.121811982046157,10.171735590085929,10.882693876566753,11.526884719086429,149.4431971104997,0.0,0.9988978339672148,0.377067083344442,0.9995556885010478,0.3549937088400593,0.9730690786018825
heterogeneous,zipf_heavy,round_robin,3217.0,2.687341786339454,0.10581553823019973,8.64290400783011,9.683462828628395,10.688553738319882,11.158293074605016,152.14262310905445,0.0,0.9999997101194965,0.37782032561992507,0.958762250914943,0.3560121390542195,0.9994280901391427
heterogeneous,zipf_mild,latency_aware,3217.0,0.04988467490758799,0.033136966858502315,0.11700950867243291,0.15162785214725616,0.24296379882600677,0.35604245137519985,319.36429859787717,0.0,0.8453124239356049,0.9337103913730718,0.9494268911372542,0.9058229403220199,0.9148015614092018
heterogeneous,zipf_mild,learned,3217.0,0.061035759599113726,0.03970645061117928,0.13742651742259648,0.19787778587400673,0.3298343451805009,0.44015790952049105,314.4484840817789,0.0,0.8418868157216801,0.9020404756271243,0.959938114976679,0.8974264216755619,0.9430577966386543
heterogeneous,zipf_mild,least_queue,3217.0,0.07629855904266401,0.055849698483108945,0.1693027548731127,0.2314308218238542,0.36925033274455693,0.5149926426467673,314.2838676142804,0.0,0.8516935957208464,0.9504198977738068,0.9738715159897562,0.906560942468545,0.9498532717761037
heterogeneous,zipf_mild,power2,3217.0,0.08472716068341753,0.05570137755049309,0.2045191274958999,0.2678190859110069,0.37051469019382627,0.4847771163728303,309.03585465291303,0.0,0.8601341195955966,0.8898324903571485,0.9651959729684628,0.8936698350837411,0.9912964766298602
heterogeneous,zipf_mild,random,3217.0,1.877902292025139,0.18556687707288075,6.038444026779525,6.638934899707212,7.546242595748629,7.935610632751354,179.39897576220483,0.0,0.9988978339672148,0.3625296296289149,0.9222499550086087,0.36564945977580615,0.9995674826524525
heterogeneous,zipf_mild,round_robin,3217.0,1.7700400077520537,0.07640892286067746,5.697237005381261,6.315048401492902,6.7381946467585765,7.014334975924136,189.19671485263575,0.0,0.9999997101194965,0.3947248991586537,0.9996948741634982,0.35862024393640435,0.9960890171565802
homogeneous,bursty,latency_aware,2018.0,0.2655844618353543,0.1250312752328515,0.717258883959159,0.8381938880463871,1.0623873873653285,1.1179002091527082,201.39276445530922,0.0,0.9492968489208902,0.7118714672676197,0.6250524097820358,0.48993494705594065,0.3927297997711211
homogeneous,bursty,learned,2018.0,0.29804278123427713,0.16002074397413457,0.8030817205925097,0.9839150093835124,1.1726010358158936,1.305888760254498,201.57479135782958,0.0,0.9944003500635857,0.598506650810663,0.6052511566544982,0.592023610491974,0.48324836226753715
homogeneous,bursty,least_queue,2018.0,0.2756524946384252,0.1712605771001634,0.681650418438515,0.7985943951054245,1.0708215139988257,1.1279106493549556,201.8,0.0,0.9300584117912523,0.7396199470303079,0.6111793228180077,0.4901113363536836,0.39038966060287167
homogeneous,bursty,power2,2018.0,0.289467650705014,0.15994891391298616,0.7682642929993146,0.8936568780844453,1.013342197732002,1.0706918335949052,201.45708074003045,0.0,0.999594499329402,0.5861979675394441,0.572267384243503,0.5343642088063392,0.5583049313831796
homogeneous,bursty,random,2018.0,0.3063485003991546,0.18367729525547105,0.7798823579881341,0.8809324689438699,1.1192254443119831,1.1593969977736478,201.8,0.0,0.9964715186466292,0.5173275635021284,0.576641734513316,0.5051027418733827,0.6191067870440234
homogeneous,bursty,round_robin,2018.0,0.2712379681994704,0.15684478521842493,0.7332073375658046,0.906845499641858,0.9958606555171338,1.0639693315828644,201.8,0.0,0.9999990177608483,0.5186831994021284,0.5681438990991408,0.5631307034935362,0.5590036479694424
homogeneous,uniform,latency_aware,3240.0,0.02245490461613019,0.017743112014741325,0.045788766442381855,0.05787208037186635,0.08272150196421647,0.14653981453002718,323.32047988692545,0.0,0.9944781528564911,0.8591454478573644,0.8257416986677489,0.8147544670767558,0.7217876214240451
homogeneous,uniform,learned,3240.0,0.023430391138559884,0.0187092600847667,0.048758572910460166,0.0612416254520389,0.08646952919475612,0.12200790901409941,322.7757852742343,0.0,0.9992940515273846,0.8498909131392444,0.8214969562497652,0.8153659519522978,0.7535737499966433
homogeneous,uniform,least_queue,3240.0,0.023723471821804967,0.0190222331566251,0.04886087008787062,0.06076439891105844,0.08541510451656834,0.1614641110920092,323.3076413078731,0.0,0.992072192493154,0.9000168176984665,0.8483835941269737,0.8023759902508267,0.7107396605380886
homogeneous,uniform,power2,3240.0,0.023309196523215118,0.019216719219852574,0.047139452736432295,0.057812634313036175,0.08376508226726329,0.11555955499537163,322.6198457734407,0.0,0.9995543824769478,0.798945346720455,0.7872330063929487,0.8015008446210131,0.8050400551508078
homogeneous,uniform,random,3240.0,0.06232051711046594,0.03977237055530414,0.14060364639267692,0.20005701615479313,0.37893649096353094,0.44978305844097655,322.0384609027679,0.0,0.9989897428830926,0.7969300485744649,0.7508471111831346,0.8127554667577295,0.8774089016385812
homogeneous,uniform,round_robin,3240.0,0.031609339325077264,0.023806609311251226,0.06850214933061065,0.08073332184431462,0.11422541627588914,0.15241511905444138,323.47311152461094,0.0,1.0,0.8332089448945973,0.8140274245920192,0.789793152023818,0.7713090767429124
homogeneous,zipf_heavy,latency_aware,3217.0,1.0498437706905175,1.0438840466152648,1.9765328909100677,2.205923386371149,2.338996901741128,2.4313058323740186,259.1854237163101,0.0,0.9995477010697165,0.9988731704046104,0.9957958480690959,0.9821457035292637,0.9670921348520669
homogeneous,zipf_heavy,learned,3217.0,1.0630400751348819,0.8389913029934037,2.2521073282597928,3.0498782523227956,4.104849071663682,4.45474689148941,231.60925449822787,0.0,0.9867127198560856,0.863732229858319,0.9995342099661748,0.804301360756917,0.8571601787321184
homogeneous,zipf_heavy,least_queue,3217.0,1.1278905791500486,1.1022597527418503,2.1105722360005545,2.252584507619321,2.3699833069893304,2.559449355043723,257.71796766096736,0.0,0.9998505405851389,0.9697753994668453,0.9917440790157664,0.9989748280086147,0.9921661373033259
homogeneous,zipf_heavy,power2,3217.0,1.2051598781151212,1.204124647640219,2.1081068417223205,2.2179892301729955,2.4976731429538,2.6368444199364447,255.6983473235408,0.0,0.9997160942764065,0.9807459199511461,0.9984016917782554,0.9785720243113816,0.9666460272563993
homogeneous,zipf_heavy,random,3217.0,1.2335576164938997,0.8606057918710874,2.5490380492211897,3.28145887364211,3.624467908684161,3.866740491636694,231.99916034854706,0.0,0.9988978339672148,0.8649052030973322,0.9985843397716734,0.8047564194144003,0.9085507155775797
homogeneous,zipf_heavy,round_robin,3217.0,1.2037554629325495,1.2546491520001766,2.188077553946119,2.284612326340087,2.414299521885412,2.4988072886850237,257.92402026676035,0.0,0.9999997101194965,0.9813106821504133,0.9933597509834069,0.9959621493978128,0.9849925787060186
homogeneous,zipf_mild,latency_aware,3217.0,0.0984651735410475,0.0781099887614829,0.20628436223364066,0.2381770245676632,0.30539096844081143,0.3768231347365303,314.6804498525152,0.0,0.9989549143062549,0.9830743779330996,0.9643467094896644,0.9564285083294929,0.9510579523478042
homogeneous,zipf_mild,learned,3217.0,0.12105181588679552,0.10960730705176935,0.2257640307900516,0.26807577599255655,0.3402512973396069,0.43440207897631566,314.53600258808115,0.0,0.9985655091549983,0.9874378847577312,0.9879027261267415,0.9860900437269918,0.9787122188363813
homogeneous,zipf_mild,least_queue,3217.0,0.1314258554362581,0.12218737018135517,0.22986111382599433,0.26690360495637033,0.3216609363718624,0.3805331396843119,312.29105317956305,0.0,0.9996179867486316,0.9953019628895702,0.9853853678550291,0.9901899004523598,0.9823696432936412
homogeneous,zipf_mild,power2,3217.0,0.07546151967037065,0.06740049757500566,0.13834821194345626,0.15711503708264513,0.20834647498478662,0.2935464314896512,318.8175082501294,0.0,0.9997941305469307,0.9696655842487899,0.9784280858475386,0.9740312815493073,0.9741450364489334
homogeneous,zipf_mild,random,3217.0,0.16831215912232073,0.1462060295131038,0.3425365126465792,0.40347752976675827,0.4897868411394796,0.5823629484834854,310.14660826673116,0.0,0.9988978339672148,0.9248014588858334,0.9611132105633305,0.9188392610469055,0.9821298271009277
homogeneous,zipf_mild,round_robin,3217.0,0.20684593609515844,0.1335100574052659,0.4863187200125189,0.5171498907512042,0.5833540417059243,0.6914070062319944,304.9100092792629,0.0,0.9999997101194965,0.8880286582931702,0.965181195983247,0.9959936143879695,0.8715639293090192
